Difference (cm^-1),Computational Frequency (cm^-1),Scaled Computational Frequency (cm^-1),Selected Experimental Frequency (cm^-1),Computational Intensity,Computational Relative Intensity,Computational Reduced Mass,Computational Frequency Constant
3.942054399999961,1274.9824,1235.4579456000001,1239.4,4.3384,0.1075,1.7263,1.6533
2.8716417000000547,1470.7207,1425.128358,1428,47.4263,0.2289,4.6074,5.8718
3.0149073999998564,1398.0546,1354.714907,1351.7,92.0129,0.444,5.8808,6.7723
6.908995000000118,1014.645,983.1910049999999,990.1,50.9681,0.2459,6.4681,3.9233
11.659527599999933,729.0604,706.4595275999999,694.8,37.1561,0.1793,2.2934,0.7182
3.0498965999998973,761.6614,738.0498965999999,735,65.8271,1,1.4095,0.4818
6.467116099999998,845.4769,819.2671161,812.8,32.3814,0.4919,1.4064,0.5923
10.45942530000002,903.3637,875.3594253,864.9,8.1071,0.1232,1.6243,0.781
17.45105340000009,1489.1114,1442.948947,1460.4,12.8209,0.1948,2.3761,3.1043
1.183495999999991,770.984,747.083496,745.9,44.8323,1,1.2544,0.4393
1.7723743000001377,851.2153,824.8276256999999,826.6,27.4354,0.612,1.5634,0.6674
2.1199841999999762,1052.9618,1020.319984,1018.2,4.8887,0.109,2.0692,1.3517
3.5112471999998434,1650.8888,1599.711247,1596.2,20.6246,0.46,6.1171,9.8227
1.1058733999999504,782.6686,758.4058733999999,757.3,15.6685,0.1129,1.3638,0.4922
2.152888300000086,1285.0907,1245.252888,1243.1,32.2822,0.2327,2.0643,2.0085
2.795400299999983,1469.1387,1423.5954,1420.8,28.3151,0.2041,3.5472,4.5109
3.4058144,549.9424,532.8941856,536.3,17.1305,0.1235,7.1206,1.2688
3.5226707999999007,774.5332,750.5226707999999,747,59.9706,1,1.3444,0.4752
6.568620500000009,489.5445,474.3686205,467.8,11.1966,0.1867,2.4661,0.3482
9.106834599999956,1543.3366,1495.493165,1504.6,13.77,0.2296,3.7303,5.235
10.51485660000003,841.5014,815.4148566,804.9,16.0029,0.2668,1.4932,0.623
7.068574200000057,1428.9282,1384.631426,1391.7,98.8011,0.154,4.7025,5.6571
8.649085699999887,1580.4447,1531.450914,1540.1,170.6488,0.2659,4.4117,6.4926
16.326468500000146,1248.0635,1209.373532,1225.7,187.4062,0.292,1.6798,1.5416
16.65342880000003,1392.3152,1349.153429,1332.5,641.7541,1,6.758,7.7186
3.1103284999999232,769.8765,746.0103284999999,742.9,66.1744,1,1.3049,0.4557
7.545066200000065,561.4602,544.0549338,551.6,10.0512,0.1519,6.9117,1.2837
18.460507699999994,942.9933,913.7605077,895.3,44.3879,0.6708,1.537,0.8053
0.5683918000001995,1447.5422,1402.668392,1402.1,291.7794,0.5976,5.0684,6.2572
9.406678799999781,1411.5652,1367.8066787999999,1358.4,488.2766,1,7.7232,9.0667
10.807216899999958,1581.5199,1532.492783,1543.3,228.131,0.4672,5.0453,7.4351
